# DO_NOT_CHANGE_HEADER,DataType,ID,Name,Category_Or_Symptom,BodyParts,Description,Tpl_Complaints,Tpl_Findings,Tpl_Treatments,Tpl_Recommendations,Rel_MuscleIDs,Rel_ActionIDs
"",TAG,tag_m_coraco,喙肱肌 (Coracobrachialis),muscleGroup,shoulder|arm,動作：肩屈曲/內收。,"","","","","",""
"",TAG,tag_m_rotator_cuff,旋轉肌袖群 (Rotator Cuff Group),muscleGroup,shoulder,包含棘上/棘下/小圓/肩胛下肌。肩關節動態穩定關鍵。,"","","","","",""
"",TAG,tag_m_supra,棘上肌 (Supraspinatus),muscleGroup,shoulder,動作：肩外展啟動。位於肩峰下空間，易夾擠。,"","","","","",""
"",TAG,tag_m_infra,棘下肌 (Infraspinatus),muscleGroup,shoulder,動作：肩外旋。後側肩袖，減速投擲動作。,"","","","","",""
"",TAG,tag_m_teres_minor,小圓肌 (Teres Minor),muscleGroup,shoulder,動作：肩外旋。後側肩袖。,"","","","","",""
"",TAG,tag_m_subscap,肩胛下肌 (Subscapularis),muscleGroup,shoulder,動作：肩內旋。前側肩袖。,"","","","","",""
"",TAG,tag_m_biceps,肱二頭肌 (Biceps Brachii),muscleGroup,arm,動作：肘屈曲/旋後/肩屈曲。,"","","","","",""
"",TAG,tag_m_brachialis,肱肌 (Brachialis),muscleGroup,arm,動作：肘屈曲。純粹的屈肘肌(不論前臂位置)。,"","","","","",""
"",TAG,tag_m_triceps,肱三頭肌 (Triceps Brachii),muscleGroup,arm,動作：肘伸直/肩伸直(長頭)。,"","","","","",""
"",TAG,tag_m_anconeus,肘肌 (Anconeus),muscleGroup,arm,動作：肘伸直(終末端)。,"","","","","",""
"",TAG,tag_m_brachiorad,肱橈肌 (Brachioradialis),muscleGroup,arm,動作：肘屈曲(中立位)。,"","","","","",""
"",TAG,tag_m_pronator_t,旋前圓肌 (Pronator Teres),muscleGroup,arm,動作：前臂旋前/肘屈曲。,"","","","","",""
"",TAG,tag_m_pronator_q,旋前方肌 (Pronator Quadratus),muscleGroup,arm,動作：前臂旋前。,"","","","","",""
"",TAG,tag_m_flex_wrist,手腕屈肌群 (Wrist Flexors),muscleGroup,arm,包含橈側/尺側屈肌、掌長肌。高爾夫球肘快速勾選用。,"","","","","",""
"",TAG,tag_m_flex_carpi_r,橈側手腕屈肌 (FCR),muscleGroup,arm,動作：手腕屈曲/橈偏。,"","","","","",""
"",TAG,tag_m_flex_carpi_u,尺側手腕屈肌 (FCU),muscleGroup,arm,動作：手腕屈曲/尺偏。,"","","","","",""
"",TAG,tag_m_palmaris,掌長肌 (Palmaris Longus),muscleGroup,arm,動作：手腕屈曲/拉緊掌腱膜。,"","","","","",""
"",TAG,tag_m_finger_flex,指屈肌群 (Finger Flexors),muscleGroup,arm,包含淺指/深指屈肌。,"","","","","",""
"",TAG,tag_m_flex_pol_l,屈拇長肌 (FPL),muscleGroup,arm,動作：拇指指間關節屈曲。,"","","","","",""
"",TAG,tag_m_ext_wrist,手腕伸肌群 (Wrist Extensors),muscleGroup,arm,包含橈側/尺側伸肌。網球肘快速勾選用。,"","","","","",""
"",TAG,tag_m_ecr_group,橈側手腕伸肌 (ECR Group),muscleGroup,arm,包含長/短橈側伸肌。網球肘常見痛點。,"","","","","",""
"",TAG,tag_m_ecu,尺側手腕伸肌 (ECU),muscleGroup,arm,動作：手腕伸直/尺偏。,"","","","","",""
"",TAG,tag_m_ext_digit,指伸肌 (Extensor Digitorum),muscleGroup,arm,動作：手指伸直。,"","","","","",""
"",TAG,tag_m_supinator,旋後肌 (Supinator),muscleGroup,arm,動作：前臂旋後。橈神經深支穿過處。,"","","","","",""
"",TAG,tag_m_abd_pol_l,外展拇長肌 (APL),muscleGroup,arm,動作：拇指外展/伸直。媽媽手(De Quervain's)相關。,"","","","","",""
"",TAG,tag_m_ext_pol_b,伸拇短肌 (EPB),muscleGroup,arm,動作：拇指伸直(MCP)。媽媽手(De Quervain's)相關。,"","","","","",""
"",TAG,tag_m_ext_pol_l,伸拇長肌 (EPL),muscleGroup,arm,動作：拇指伸直(IP)。路徑繞過 Lister's Tubercle。,"","","","","",""
"",TAG,tag_m_rectus_abd,腹直肌 (Rectus Abdominis),muscleGroup,abdomen,動作：軀幹屈曲/骨盆後傾。,"","","","","",""
"",TAG,tag_m_oblique_ext,腹外斜肌 (External Oblique),muscleGroup,abdomen,動作：對側旋轉/側彎/屈曲。,"","","","","",""
"",TAG,tag_m_oblique_int,腹內斜肌 (Internal Oblique),muscleGroup,abdomen,動作：同側旋轉/側彎/屈曲。,"","","","","",""
"",TAG,tag_m_trans_abd,腹橫肌 (Transversus Abdominis),muscleGroup,abdomen,動作：增加腹內壓(Corset action)。鑑別：腹部內縮測試(Drawing-in)。,"","","","","",""
"",TAG,tag_m_erector_sp,豎脊肌群 (Erector Spinae),muscleGroup,upper-back|lower-back,包含棘肌/最長肌。背部伸直/抗重力主力。,"","","","","",""
"",TAG,tag_m_iliocostalis,髂肋肌 (Iliocostalis),muscleGroup,upper-back|lower-back,豎脊肌最外側束。動作：伸直/側彎(Lateral Flexion)主力。,"","","","","",""
"",TAG,tag_m_transversosp,橫突棘肌群 (Transversospinalis),muscleGroup,upper-back|lower-back,包含半棘肌、迴旋肌。深層穩定與旋轉。,"","","","","",""
"",TAG,tag_m_multifidus,多裂肌 (Multifidus),muscleGroup,lower-back,深層節段穩定。難以觸診，需透過動作控制測試評估。下背痛常見萎縮。,"","","","","",""
"",TAG,tag_m_ql,腰方肌 (Quadratus Lumborum),muscleGroup,lower-back,動作：骨盆上提(Hip Hike)/側彎。穩定腰椎。,"","","","","",""
"",TAG,tag_m_gmax,臀大肌 (Gluteus Maximus),muscleGroup,hip,動作：髖伸直/外旋。抗重力/衝刺主力。,"","","","","",""
"",TAG,tag_m_gmed,臀中肌 (Gluteus Medius),muscleGroup,hip,動作：髖外展。單腳站立穩定骨盆。,"","","","","",""
"",TAG,tag_m_gmin,臀小肌 (Gluteus Minimus),muscleGroup,hip,動作：髖外展/內旋。,"","","","","",""
"",TAG,tag_m_tfl,闊筋膜張肌 (TFL),muscleGroup,hip,動作：髖屈曲/外展/內旋。連接髂脛束。,"","","","","",""
"",TAG,tag_m_piriformis,梨狀肌 (Piriformis),muscleGroup,hip,動作：髖外旋(伸直位)/外展(屈曲位)。緊繃可能壓迫坐骨神經。,"","","","","",""
"",TAG,tag_m_obturator_i,閉孔內肌 (Obturator Internus),muscleGroup,hip,動作：髖外旋。,"","","","","",""
"",TAG,tag_m_obturator_e,閉孔外肌 (Obturator Externus),muscleGroup,hip,動作：髖外旋。,"","","","","",""
"",TAG,tag_m_gemellus_s,上孖肌 (Gemellus Superior),muscleGroup,hip,動作：髖外旋。,"","","","","",""
"",TAG,tag_m_gemellus_i,下孖肌 (Gemellus Inferior),muscleGroup,hip,動作：髖外旋。,"","","","","",""
"",TAG,tag_m_quad_fem,股方肌 (Quadratus Femoris),muscleGroup,hip,動作：髖外旋。,"","","","","",""
"",TAG,tag_m_psoas,腰大肌 (Psoas Major),muscleGroup,lower-back|hip,動作：髖屈曲/腰椎穩定。緊繃導致骨盆前傾。,"","","","","",""
"",TAG,tag_m_iliacus,髂肌 (Iliacus),muscleGroup,hip,動作：髖屈曲。,"","","","","",""
"",TAG,tag_m_sartorius,縫匠肌 (Sartorius),muscleGroup,hip|leg,動作：髖屈曲/外展/外旋 + 膝屈曲/內旋(鵝足)。,"","","","","",""
"",TAG,tag_m_adductor_g,內收肌群 (Adductor Group),muscleGroup,hip,功能性標籤。快速紀錄內收肌緊繃。,"","","","","",""
"",TAG,tag_m_pectineus,恥骨肌 (Pectineus),muscleGroup,hip,動作：髖內收/屈曲。,"","","","","",""
"",TAG,tag_m_add_longus,內收長肌 (Adductor Longus),muscleGroup,hip,動作：髖內收/屈曲。,"","","","","",""
"",TAG,tag_m_add_brevis,內收短肌 (Adductor Brevis),muscleGroup,hip,動作：髖內收/屈曲。,"","","","","",""
"",TAG,tag_m_add_magnus,內收大肌 (Adductor Magnus),muscleGroup,hip,動作：髖內收/伸直(後側頭)/屈曲(前側頭)。,"","","","","",""
"",TAG,tag_m_gracilis,薄肌 (Gracilis),muscleGroup,hip|leg,動作：髖內收 + 膝屈曲/內旋(鵝足)。,"","","","","",""
"",TAG,tag_g_quads,股四頭肌群 (Quadriceps Group),muscleGroup,hip|leg,解剖群組。包含股直肌與三條股肌。,"","","","","",""
"",TAG,tag_m_rectus_f,股直肌 (Rectus Femoris),muscleGroup,hip|leg,動作：膝伸直/髖屈曲。跨雙關節。,"","","","","",""
"",TAG,tag_m_vastus_lat,股外側肌 (Vastus Lateralis),muscleGroup,leg,動作：膝伸直。,"","","","","",""
"",TAG,tag_m_vastus_med,股內側肌 (Vastus Medialis),muscleGroup,leg,動作：膝伸直。含 VMO (斜頭)，負責髕骨內側穩定。,"","","","","",""
"",TAG,tag_g_hamstrings,膕旁肌群 (Hamstrings Group),muscleGroup,hip|leg|knee,解剖群組。大腿後側肌群。,"","","","","",""
"",TAG,tag_m_biceps_fem_l,股二頭肌-長頭 (Biceps Fem Long),muscleGroup,hip|leg|knee,動作：髖伸直/膝屈曲/膝外旋。跨雙關節。,"","","","","",""
"",TAG,tag_m_biceps_fem_s,股二頭肌-短頭 (Biceps Fem Short),muscleGroup,leg|knee,動作：膝屈曲/膝外旋。僅跨膝關節(不伸髖)。,"","","","","",""
"",TAG,tag_m_semiten,半腱肌 (Semitendinosus),muscleGroup,hip|leg|knee,動作：髖伸直/膝屈曲/膝內旋。止於鵝足。,"","","","","",""
"",TAG,tag_m_semimem,半膜肌 (Semimembranosus),muscleGroup,hip|leg|knee,動作：髖伸直/膝屈曲/膝內旋。,"","","","","",""
"",TAG,tag_m_popliteus,膕肌 (Popliteus),muscleGroup,knee,動作：膝內旋(解鎖膝關節)。啟動膝屈曲。,"","","","","",""
"",TAG,tag_g_triceps_surae,小腿三頭肌 (Triceps Surae),muscleGroup,leg|ankle,解剖群組。包含腓腸肌與比目魚肌。,"","","","","",""
"",TAG,tag_m_gastrocnemius,腓腸肌 (Gastrocnemius),muscleGroup,leg|ankle,動作：足蹠屈/膝屈曲。爆發力型，跨膝關節。,"","","","","",""
"",TAG,tag_m_soleus,比目魚肌 (Soleus),muscleGroup,leg|ankle,動作：足蹠屈。耐力型，不跨膝關節。,"","","","","",""
"",TAG,tag_m_plantaris,蹠肌 (Plantaris),muscleGroup,leg|ankle,動作：微弱足蹠屈/膝屈曲。,"","","","","",""
"",TAG,tag_m_tib_post,脛後肌 (Tibialis Posterior),muscleGroup,leg|ankle,動作：足內翻/蹠屈。支撐足弓關鍵。,"","","","","",""
"",TAG,tag_m_fdl,屈趾長肌 (Flexor Digitorum Longus),muscleGroup,leg|foot,動作：屈曲第2-5趾/足蹠屈/內翻。,"","","","","",""
"",TAG,tag_m_fhl,屈拇長肌 (Flexor Hallucis Longus),muscleGroup,leg|foot,動作：屈曲大拇趾/足蹠屈/內翻。推進期(Push-off)重要。,"","","","","",""
"",TAG,tag_m_tib_ant,脛前肌 (Tibialis Anterior),muscleGroup,leg|ankle,動作：足背屈/內翻。無力導致垂足(Foot Drop)。,"","","","","",""
"",TAG,tag_m_edl,伸趾長肌 (Extensor Digitorum Longus),muscleGroup,leg|foot,動作：伸展第2-5趾/足背屈。,"","","","","",""
"",TAG,tag_m_ehl,伸拇長肌 (Extensor Hallucis Longus),muscleGroup,leg|foot,動作：伸展大拇趾/足背屈。,"","","","","",""
"",TAG,tag_m_peroneus_3,第三腓骨肌 (Peroneus Tertius),muscleGroup,leg|foot,動作：足背屈/外翻。,"","","","","",""
"",TAG,tag_m_peroneus_l,腓骨長肌 (Peroneus Longus),muscleGroup,leg|foot,動作：足外翻/蹠屈。肌腱穿過足底，穩定橫弓與第一蹠骨。,"","","","","",""
"",TAG,tag_m_peroneus_b,腓骨短肌 (Peroneus Brevis),muscleGroup,leg|foot,動作：足外翻/蹠屈。止於第5蹠骨基部(常見撕裂性骨折)。,"","","","","",""
"",TAG,tag_m_foot_intr,足部內在肌群 (Intrinsic Foot M.),muscleGroup,foot,解剖群組。包含足底各層小肌肉。,"","","","","",""
"",TAG,tag_m_ext_dig_b,伸趾短肌 (Extensor Digitorum Brevis),muscleGroup,foot,動作：伸展第2-4趾。,"","","","","",""
"",TAG,tag_m_flex_dig_b,屈趾短肌 (Flexor Digitorum Brevis),muscleGroup,foot,動作：屈曲第2-5趾。,"","","","","",""
"",TAG,tag_m_abd_hal,外展拇肌 (Abductor Hallucis),muscleGroup,foot,動作：外展大拇趾。維持足弓。,"","","","","",""
"",TAG,tag_m_abd_dig_m,外展小趾肌 (Abductor Digiti Minimi),muscleGroup,foot,動作：外展小趾。,"","","","","",""
"",TAG,tag_m_quad_plantae,足底方肌 (Quadratus Plantae),muscleGroup,foot,動作：修正屈趾方向。,"","","","","",""
"",TAG,tag_m_lumbricals_f,蚓狀肌 (Lumbricals - Foot),muscleGroup,foot,動作：屈曲MTP/伸直IP。,"","","","","",""
"",TAG,tag_m_interossei_f,骨間肌 (Interossei - Foot),muscleGroup,foot,動作：腳趾外展/內收。,"","","","","",""
"",TAG,tag_l_nuchal,項韌帶 (Ligamentum Nuchae),ligament,neck,限制頸部過度屈曲，提供肌肉附著點。,"","","","","",""
"",TAG,tag_l_acl,前十字韌帶 (ACL),ligament,knee,限制脛骨前移與膝關節旋轉。運動傷害常見。,"","","","","",""
"",TAG,tag_l_pcl,後十字韌帶 (PCL),ligament,knee,限制脛骨後移。車禍儀表板損傷常見。,"","","","","",""
"",TAG,tag_l_mcl,內側副韌帶 (MCL),ligament,knee,限制膝外翻(Valgus)壓力。,"","","","","",""
"",TAG,tag_l_lcl,外側副韌帶 (LCL),ligament,knee,限制膝內翻(Varus)壓力。,"","","","","",""
"",TAG,tag_l_atfl,前距腓韌帶 (ATFL),ligament,ankle,限制踝內翻。腳踝扭傷最常受損韌帶。,"","","","","",""
"",TAG,tag_f_itb,髂脛束 (IT Band),fascia,hip|leg|knee,大腿外側厚筋膜，提供膝關節外側動態穩定。,"","","","","",""
"",TAG,tag_f_thoraco,胸腰筋膜 (Thoracolumbar Fascia),fascia,lower-back,連接背部肌肉的關鍵筋膜系統，傳遞力量。,"","","","","",""
"",TAG,tag_f_plantar,足底筋膜 (Plantar Fascia),fascia,foot,維持足弓張力，吸震。,"","","","","",""
"",TAG,tag_n_sciatic,坐骨神經 (Sciatic Nerve),nerve,hip|leg,源自薦神經叢，支配後大腿及小腿。,"","","","","",""
"",TAG,tag_n_median,正中神經 (Median Nerve),nerve,arm,穿過腕隧道，支配手掌橈側感覺與肌肉。,"","","","","",""
"",TAG,tag_n_ulnar,尺神經 (Ulnar Nerve),nerve,arm,穿過肘隧道(Funny bone)，支配手掌尺側。,"","","","","",""
